asv,n,prop,ncomp,eta
asv.11125,2,0.08,6,0.9666378592253227
asv.12798,1,0.04,6,0.9666378592253227
asv.13377,3,0.12,6,0.9666378592253227
asv.14389,13,0.52,6,0.9666378592253227
asv.16124,1,0.04,6,0.9666378592253227
asv.16378,2,0.08,6,0.9666378592253227
asv.1743,1,0.04,6,0.9666378592253227
asv.19903,1,0.04,6,0.9666378592253227
asv.19906,23,0.92,6,0.9666378592253227
asv.20592,1,0.04,6,0.9666378592253227
asv.21313,22,0.88,6,0.9666378592253227
asv.22521,5,0.2,6,0.9666378592253227
asv.2492,1,0.04,6,0.9666378592253227
asv.28138,1,0.04,6,0.9666378592253227
asv.28646,2,0.08,6,0.9666378592253227
asv.28712,1,0.04,6,0.9666378592253227
asv.28794,1,0.04,6,0.9666378592253227
asv.29953,10,0.4,6,0.9666378592253227
asv.30146,1,0.04,6,0.9666378592253227
asv.31466,21,0.84,6,0.9666378592253227
asv.33902,1,0.04,6,0.9666378592253227
asv.34266,3,0.12,6,0.9666378592253227
asv.35244,1,0.04,6,0.9666378592253227
asv.36925,1,0.04,6,0.9666378592253227
asv.42349,1,0.04,6,0.9666378592253227
asv.42512,14,0.56,6,0.9666378592253227
asv.42998,23,0.92,6,0.9666378592253227
asv.4492,20,0.8,6,0.9666378592253227
asv.46698,2,0.08,6,0.9666378592253227
asv.9184,1,0.04,6,0.9666378592253227
